order_id,Section A,Section B,Section C,Section D,Section E,Section F,Section G,Section H,Section I,Section J,number_of_items
320,1,1,0,0,1,0,0,0,1,1,5
321,1,1,0,1,0,0,1,1,0,0,5
322,1,1,0,0,0,0,1,0,0,1,15
323,0,1,0,1,1,0,1,0,1,0,3
324,1,1,0,0,1,1,1,1,1,0,17
325,0,0,0,1,1,1,0,1,0,1,7
326,1,0,1,1,1,0,0,1,0,0,19
327,1,1,0,0,1,1,0,1,1,1,4
328,0,0,1,0,1,0,0,1,0,0,18
329,1,1,0,0,1,1,0,1,1,1,10
330,1,0,0,0,0,1,1,0,1,0,11
331,0,0,0,0,0,1,0,0,1,0,17
332,0,0,0,1,1,1,0,1,0,0,18
333,0,0,1,1,1,1,1,1,1,0,16
334,0,1,0,0,0,0,1,1,1,1,8
335,1,0,0,0,1,1,0,1,1,0,7
336,0,0,1,0,0,0,1,0,1,0,15
337,1,1,0,1,1,0,0,0,0,1,15
338,1,0,0,1,1,1,1,0,0,1,11
339,0,0,0,1,1,0,1,1,0,1,12
340,0,0,0,0,0,0,1,1,1,1,8
341,1,1,1,1,1,0,0,1,1,0,2
342,1,1,1,1,0,1,1,1,1,0,2
343,1,0,0,1,0,1,1,1,0,1,19
344,0,1,1,1,0,1,0,0,1,1,10
345,1,1,0,0,0,1,0,1,0,1,11
346,1,1,0,0,1,1,1,0,0,0,13
347,1,1,1,0,0,0,0,1,1,0,1
348,0,1,1,0,0,1,1,0,0,0,11
349,1,1,0,1,0,1,0,0,0,1,3
350,0,1,1,0,1,0,0,1,0,0,1
351,1,0,1,1,1,1,0,1,0,1,11
352,1,0,0,1,0,0,1,1,0,0,4
353,0,0,0,0,1,1,0,1,0,0,12
354,1,0,0,0,1,0,0,0,0,0,12
355,0,0,0,0,0,0,1,1,0,1,4
356,1,1,0,1,0,1,1,1,1,0,8
357,1,1,1,1,1,0,1,0,0,1,11
358,0,0,0,1,0,0,0,0,1,0,7
359,1,0,0,1,1,0,1,1,1,0,5
360,1,0,1,1,1,1,1,0,1,0,8
361,1,1,1,0,1,0,0,1,0,1,20
362,0,0,1,1,0,0,1,1,0,0,9
363,0,0,1,0,0,1,0,0,1,0,13
364,1,1,0,1,0,1,1,1,1,1,4
365,1,0,1,1,0,0,1,0,0,1,9
366,1,0,1,0,0,0,0,0,1,0,6
367,1,0,0,0,0,0,1,0,1,1,4
368,0,0,1,1,1,0,0,0,0,0,6
369,0,0,1,1,0,0,1,1,0,0,15
370,1,0,1,1,0,0,0,1,0,1,1
371,1,1,1,0,1,1,1,0,0,1,12
372,0,1,0,1,1,0,1,0,1,0,16
373,0,0,0,1,0,1,1,0,1,0,16
374,0,1,1,0,1,1,1,1,1,0,14
375,1,0,0,0,1,1,1,0,1,0,6
376,0,0,0,1,0,1,0,0,0,1,7
377,0,1,0,0,0,1,1,0,0,0,14
378,1,1,0,1,0,0,0,1,1,1,12
379,0,1,0,0,0,1,1,1,1,0,6
380,0,0,0,1,0,1,1,1,0,1,7
381,1,0,1,1,1,0,0,1,0,1,20
382,1,0,0,0,0,0,1,1,0,0,4
383,0,1,0,1,1,1,0,1,0,0,19
384,1,1,0,1,1,0,0,1,1,0,5
385,0,1,0,0,0,1,1,1,0,1,7
386,1,0,1,1,0,0,1,0,0,1,6
387,1,1,0,0,1,1,0,0,1,0,2
388,0,0,0,0,0,0,0,1,1,0,20
389,1,0,0,1,1,1,0,0,0,0,17
390,0,0,0,1,0,1,1,0,1,0,12
391,0,1,1,1,1,1,0,1,0,0,4
392,0,1,0,1,1,1,0,0,0,0,8
393,1,1,1,0,1,1,0,0,1,1,11
394,1,0,0,0,1,0,1,1,0,0,2
395,0,0,0,0,1,0,1,1,0,0,4
396,1,0,0,0,1,1,1,0,0,1,6
397,1,1,1,1,1,1,0,1,0,1,1
398,1,1,0,0,0,1,0,1,1,0,2
399,0,1,1,0,0,1,0,1,0,0,14
400,0,1,1,1,0,1,1,1,1,1,12
401,0,1,1,0,1,0,1,0,0,0,11
402,1,0,0,0,0,0,1,0,0,1,11
403,1,0,1,0,1,1,0,1,0,0,6
404,0,1,0,0,1,1,0,0,1,1,9
405,0,1,0,1,0,0,1,0,1,0,12
406,1,1,0,0,1,1,0,0,1,0,16
407,1,1,0,1,0,1,1,0,0,0,18
408,0,1,0,1,1,0,0,0,0,0,11
409,0,0,0,0,1,0,0,0,0,0,11
410,0,0,0,0,0,1,1,0,0,0,18
411,0,1,1,1,0,0,1,0,1,1,18
412,1,1,1,0,1,0,0,0,0,1,15
413,1,0,1,1,1,0,1,1,1,0,20
414,0,0,0,0,0,1,0,1,0,0,13
415,1,0,0,0,1,1,0,1,0,0,4
416,1,0,1,0,0,1,0,0,0,0,15
417,0,0,0,1,0,0,1,1,0,1,15
418,0,0,1,1,0,1,1,1,0,1,1
419,1,1,0,0,1,1,0,1,1,1,20
420,0,0,0,0,1,0,0,1,1,0,5
421,1,0,0,1,1,0,1,0,0,0,5
422,0,1,1,1,1,1,1,1,1,0,16
423,1,0,0,0,0,1,0,0,1,1,11
424,0,1,0,0,0,0,1,1,1,0,2
425,1,0,1,1,1,0,0,1,0,1,2
426,1,0,1,0,0,0,1,1,0,0,10
427,1,0,1,0,0,1,1,0,1,0,7
428,0,0,1,0,0,1,0,1,1,0,14
429,0,0,0,1,0,1,1,1,0,0,16
430,1,1,1,1,0,1,0,1,0,0,3
431,0,0,0,1,0,0,0,0,0,1,20
432,0,1,0,0,0,1,1,0,0,1,12
433,0,0,1,0,0,0,0,0,1,1,6
434,1,0,1,0,0,0,1,1,1,1,14
435,1,0,0,1,1,1,1,1,1,1,15
436,0,1,0,1,0,0,1,0,0,0,13
437,1,0,1,0,1,1,0,0,1,1,15
438,0,1,1,0,0,0,1,1,0,1,20
439,1,1,1,0,1,0,1,0,0,1,14
440,0,1,0,0,0,0,0,0,1,1,6
441,0,0,1,0,0,0,1,1,1,1,6
442,1,0,0,0,1,0,0,0,0,1,15
443,1,0,0,1,0,0,0,1,1,1,6
444,0,1,1,0,0,1,0,1,1,0,1
445,1,0,0,0,0,0,1,1,1,1,16
446,1,0,0,1,1,1,0,1,0,0,13
447,1,0,1,1,0,1,0,0,0,0,15
448,1,1,1,0,0,0,0,0,1,1,20
449,0,1,1,1,1,1,0,1,1,1,12
450,1,0,0,1,1,1,0,1,0,0,12
451,0,1,0,1,0,0,0,0,1,1,15
452,1,1,1,1,0,1,0,0,1,1,1
453,1,0,0,1,0,0,0,0,0,1,17
454,0,0,1,1,0,0,1,1,1,0,18
455,1,1,0,0,1,1,1,0,1,0,9
456,1,1,1,0,0,1,1,0,1,1,2
457,1,1,0,1,0,1,0,0,1,1,19
458,0,1,1,0,0,0,1,0,1,1,14
459,0,0,1,0,1,0,0,1,0,0,3
460,0,1,1,1,0,1,1,1,1,0,14
461,1,0,0,0,0,0,0,1,0,0,8
462,1,1,1,1,0,0,1,0,0,0,1
463,0,0,1,1,1,1,0,1,1,1,8
464,1,0,0,1,0,0,0,1,0,0,8
465,1,1,1,1,1,1,0,1,1,1,16
466,0,1,1,0,0,1,1,0,0,0,9
467,1,0,1,1,0,1,0,1,1,1,7
468,1,1,0,0,0,1,0,0,1,1,9
469,1,0,0,1,0,1,0,1,0,1,1
470,1,0,0,0,1,0,1,0,1,0,7
471,0,1,0,1,1,0,1,0,1,1,15
472,1,0,0,0,0,1,0,0,0,0,13
473,1,1,0,0,1,1,0,1,0,1,15
474,1,0,1,1,0,0,0,1,0,0,15
475,0,1,0,0,1,0,0,0,1,0,8
476,0,0,1,0,0,0,0,0,0,1,15
477,0,1,1,0,0,0,1,0,0,0,13
478,1,1,1,1,1,0,1,0,1,1,20
479,0,1,0,1,0,0,1,0,0,1,14
480,0,0,1,0,1,1,0,0,0,0,19
481,1,1,0,1,0,0,1,0,1,0,1
482,1,1,1,0,0,0,1,0,0,0,19
483,1,1,0,1,0,0,0,1,1,1,18
484,1,0,1,1,1,0,0,0,1,0,4
485,1,0,0,1,1,1,0,1,0,0,16
486,0,0,1,0,1,1,1,1,1,1,10
487,0,0,0,0,0,1,1,1,0,0,11
488,1,0,0,1,1,0,0,0,0,1,15
489,1,1,1,1,0,1,0,0,1,0,20
490,0,1,0,0,0,1,0,1,0,0,4
491,1,0,1,0,0,1,1,1,0,1,18
492,1,0,0,0,1,0,1,0,1,1,18
493,1,1,1,1,0,0,0,1,0,1,5
494,0,1,0,1,1,0,0,0,1,0,15
495,0,1,0,0,1,1,1,1,1,1,17
496,1,1,0,0,0,0,0,0,1,0,13
497,0,0,1,0,0,0,0,0,1,1,13
498,0,0,1,0,1,1,1,1,1,0,10
499,0,1,1,1,0,0,0,1,0,1,11
500,0,0,0,0,1,1,1,0,1,0,16
501,1,1,1,1,0,0,0,0,1,0,9
502,1,1,0,1,0,1,0,0,0,1,10
503,1,0,0,0,1,0,0,1,0,0,4
504,0,1,1,1,1,0,0,1,0,0,2
505,0,0,1,1,1,0,1,0,1,1,6
506,1,1,0,1,1,0,1,0,0,0,13
507,0,0,1,1,0,0,0,1,1,0,10
508,1,0,1,0,1,1,1,0,1,1,18
509,1,0,0,0,0,0,0,0,0,0,15
510,0,0,1,1,0,1,0,0,0,0,9
511,1,0,1,0,0,0,0,1,0,1,12
512,1,1,1,0,1,0,0,1,1,1,13
513,0,1,1,0,1,0,0,0,1,1,3
514,1,1,0,0,0,0,0,1,1,1,10
515,0,0,0,1,1,0,1,0,0,0,12
516,0,1,1,1,1,1,0,1,1,0,17
517,0,1,1,1,0,1,0,1,1,0,14
518,1,0,0,1,0,1,0,1,0,1,18
519,0,1,1,0,0,1,0,0,0,1,20
520,1,0,0,1,1,1,1,1,0,1,20
521,0,1,0,1,0,0,0,1,1,1,19
522,0,1,0,1,1,0,0,0,0,1,15
523,0,0,1,0,1,1,0,1,0,0,15
524,1,1,1,1,1,1,1,1,0,1,4
525,0,1,0,0,1,1,0,0,1,1,5
526,0,0,0,1,1,0,0,1,1,0,7
527,1,0,0,0,0,0,1,1,1,0,13
528,0,1,0,1,1,0,1,1,0,1,9
529,1,1,0,1,0,1,1,0,1,1,10
530,1,1,0,0,1,1,1,0,1,1,8
531,1,1,0,0,0,0,1,0,1,0,17
532,1,1,0,1,0,1,1,0,0,1,14
533,0,0,1,0,0,1,1,1,1,1,14
534,1,1,1,1,0,1,1,0,1,0,15
535,0,0,1,1,0,1,1,0,0,0,1
536,0,0,0,0,0,0,0,0,0,0,12
537,1,1,1,1,1,0,1,1,0,1,12
538,1,1,0,0,0,1,1,1,1,0,20
539,1,1,1,0,0,1,1,0,0,0,2
540,1,1,0,1,0,0,1,0,1,0,3
541,1,0,0,1,1,1,0,1,1,1,11
542,1,1,0,1,0,1,0,1,1,0,7
543,1,0,0,1,0,1,1,1,0,1,15
544,1,0,0,1,0,0,1,1,0,0,10
545,0,0,1,1,0,0,0,1,1,0,5
546,1,0,0,0,1,1,1,1,0,1,14
547,0,1,0,1,0,0,1,0,1,1,20
548,0,1,0,0,1,1,0,1,1,1,13
549,1,0,0,1,0,0,0,0,0,1,9
550,0,1,1,0,1,1,0,1,1,0,13
551,0,0,1,1,0,0,1,0,1,1,11
552,0,1,1,0,1,0,0,1,0,1,15
553,1,0,1,1,1,0,0,0,0,1,6
554,1,1,1,0,1,1,1,0,0,0,16
555,1,1,0,1,1,1,0,0,1,0,2
556,0,0,0,0,0,0,1,1,0,1,10
557,1,1,1,1,1,1,1,0,0,0,9
558,1,0,1,0,1,1,1,1,1,1,9
559,0,1,1,1,0,0,1,1,0,0,5
560,1,1,0,1,0,0,1,0,0,0,19
561,0,1,0,0,1,1,1,0,1,1,15
562,0,1,1,1,0,1,1,0,0,0,16
563,1,0,1,0,1,1,1,0,1,0,19
564,0,1,0,1,0,1,1,1,1,1,5
565,1,1,0,0,1,0,1,1,0,0,2
566,0,0,1,1,0,0,0,1,0,0,15
567,0,0,0,1,0,0,1,0,0,0,4
568,0,0,0,0,0,1,1,1,1,0,9
569,1,1,1,1,1,1,1,1,0,1,17
570,0,1,0,1,1,0,0,0,0,0,18
571,1,1,0,1,1,1,0,1,0,1,4
572,1,1,1,1,0,1,0,1,1,1,18
573,0,0,1,1,1,1,1,1,0,1,5
574,1,0,1,0,1,0,1,1,1,1,9
575,1,1,0,1,1,0,1,0,1,0,20
576,1,0,1,0,0,0,1,1,1,0,3
577,0,0,0,0,0,1,0,1,1,1,17
578,1,0,1,0,0,0,1,0,0,0,7
579,1,0,0,1,1,0,0,1,0,1,10
